id,name,onsets,durations,amplitudes,info,subject,session
1,Experimental-Baseline,152,30,1,,2,1
9,HWCE-Baseline,270,30,1,,2,1
12,Trial-Baseline,270,30,1,,2,1
10,HWCE-Procedure,300,239,1,,2,1
23,Trial-Procedure,300,239,1,,2,1
11,HWCE-Recovery,539,30,1,,2,1
28,Trial-Recovery,539,30,1,,2,1
22,SurgTLX,569,202,1,,2,1
26,SurgTLX-HWCE,569,202,1,,2,1
12,Trial-Baseline,771,30,1,,2,1
29,LWCE-Baseline,771,30,1,,2,1
23,Trial-Procedure,801,135,1,,2,1
30,LWCE-Procedure,801,135,1,,2,1
28,Trial-Recovery,936,30,1,,2,1
31,LWCE-Recovery,936,30,1,,2,1
22,SurgTLX,967,202,1,,2,1
24,SurgTLX-LWCE,967,202,1,,2,1
12,Trial-Baseline,1168,30,1,,2,1
13,HWBE-A-Baseline,1168,30,1,,2,1
14,HWBE-A-Procedure,1198,20,1,,2,1
23,Trial-Procedure,1198,20,1,,2,1
12,Trial-Baseline,1218,30,1,,2,1
15,HWBE-A-Recovery,1218,30,1,,2,1
16,HWBE-B-Baseline,1218,30,1,,2,1
28,Trial-Recovery,1218,30,1,,2,1
17,HWBE-B-Procedure,1248,118,1,,2,1
23,Trial-Procedure,1248,118,1,,2,1
12,Trial-Baseline,1366,30,1,,2,1
18,HWBE-B-Recovery,1366,30,1,,2,1
19,HWBE-C-Baseline,1366,30,1,,2,1
28,Trial-Recovery,1366,30,1,,2,1
20,HWBE-C-Procedure,1396,2,1,,2,1
23,Trial-Procedure,1396,2,1,,2,1
21,HWBE-C-Recovery,1397,30,1,,2,1
28,Trial-Recovery,1397,30,1,,2,1
22,SurgTLX,1427,160,1,,2,1
27,SurgTLX-HWBE,1427,160,1,,2,1
12,Trial-Baseline,1588,30,1,,2,1
32,LWBE-A-Baseline,1588,30,1,,2,1
23,Trial-Procedure,1617,21,1,,2,1
33,LWBE-A-Procedure,1617,21,1,,2,1
2,LWBE-A-Recovery,1639,30,1,,2,1
3,LWBE-B-Baseline,1639,30,1,,2,1
12,Trial-Baseline,1639,30,1,,2,1
28,Trial-Recovery,1639,30,1,,2,1
4,LWBE-B-Procedure,1669,39,1,,2,1
23,Trial-Procedure,1669,39,1,,2,1
5,LWBE-B-Recovery,1708,30,1,,2,1
6,LWBE-C-Baseline,1708,30,1,,2,1
12,Trial-Baseline,1708,30,1,,2,1
28,Trial-Recovery,1708,30,1,,2,1
7,LWBE-C-Procedure,1738,76,1,,2,1
23,Trial-Procedure,1738,76,1,,2,1
8,LWBE-C-Recovery,1814,30,1,,2,1
28,Trial-Recovery,1814,30,1,,2,1
22,SurgTLX,1844,72,1,,2,1
25,SurgTLX-LWBE,1844,72,1,,2,1
